T1toT2_ScaMorph_ncc1_reg1
,Background,WT,TC,ET,,HD_wt,HD_tc,HD_etnon_jec
p_0,0.9993831040451485,0.8849162435828373,0.9164411063333265,0.8366713068044648,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.03192545572916667
p_1,0.99895517538837,0.9390291027086688,0.9263340978923823,0.7903579593992723,1.7320508075688772,2.0,1.7320508075688772,0.04565572102864583
p_2,0.9995925177831335,0.9176071766262335,0.9204520685823182,0.8606308033699044,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.02458984375
p_3,0.9983526044692539,0.9382104776235982,0.9208992734939515,0.7228999046275917,1.7320508075688772,2.449489742783178,2.0,0.030121053059895833
p_4,0.9988943144364594,0.9513066744423585,0.940683131155208,0.912854261513413,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.028444010416666665
p_5,0.9990290853159902,0.9512771650916207,0.9204211388322244,0.8103543880601012,1.4142135623730951,2.0,1.7320508075688772,0.03524251302083333
p_6,0.9976894374464953,0.856022206852968,0.8850758336025332,0.7803215276730758,2.23606797749979,2.23606797749979,1.7320508075688772,0.029494222005208334
p_7,0.9994401777407504,0.920070788042053,0.9239182824285495,0.6962537419304743,2.0,2.23606797749979,1.7320508075688772,0.0346795654296875
p_8,0.9986181462219089,0.916510992901497,0.8905892038149171,0.704443045232344,2.8284271247461903,3.1622776601683795,2.8284271247461903,0.0188946533203125
p_9,0.9974960763513314,0.9248385294930177,0.9454152435715959,0.7827229000910889,2.0,2.0,2.0,0.004195760091145834
p_10,0.998942339540574,0.9489960442166644,0.9036222507454417,0.7932261372585611,1.4142135623730951,2.23606797749979,2.0,0.0310382080078125
p_11,0.9988297184707764,0.9484423625603993,0.956042916640636,0.8283354247451093,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0097918701171875
p_12,0.9995417058887829,0.9245899429246927,0.8941905911213165,0.783592400014169,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0374249267578125
p_13,0.9995052510266429,0.8709892155848783,0.8965137455430534,0.8366736460082393,2.0,2.0,2.0,0.026654256184895832
p_14,0.9993078787062835,0.930227741030663,0.9182531259142681,0.8798055890936073,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.018034464518229168
p_15,0.9980775246422873,0.9410339516807986,0.9580258749531736,0.7275321999516714,1.7320508075688772,2.0,1.7320508075688772,0.032249755859375
p_16,0.9978114893208181,0.9431818804904202,0.8485528510201172,0.7044074020510652,2.0,3.7416573867739413,3.0,0.023082071940104167
p_17,0.9996296838452731,0.9472039256112509,0.9475592990922231,0.8362906062576263,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.03848124186197917
p_18,0.9971757887496754,0.9194216551584673,0.9513326731210893,0.8551491816770534,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0201580810546875
p_19,0.997961555228623,0.9476998169358632,0.9455606749252711,0.852322365877385,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.028268636067708332
p_20,0.9981776608612077,0.9270016288298458,0.9091263006799242,0.8316595107650439,2.0,2.23606797749979,2.0,0.0192431640625
p_21,0.9984897352544986,0.9437965510976429,0.9406984091829673,0.8291833136007445,2.0,2.0,2.0,0.011366780598958333
p_22,0.9988866185008913,0.9496927442096061,0.9477675869722832,0.763583101622293,2.23606797749979,2.23606797749979,1.7320508075688772,0.047563273111979165
p_23,0.9988018451863537,0.9307569015279917,0.9257073371899716,0.8753985596540323,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.03194071451822917
p_24,0.9989006998419111,0.9660105591644205,0.8991620013040853,0.8174893221748295,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.021296590169270834
p_25,0.9997051920198637,0.9231874415529632,0.9132111857135043,0.8878684218697023,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.03541178385416666
p_26,0.9990402822720427,0.927591006934684,0.9101865266197045,0.8746853076345695,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.027734171549479165
p_27,0.9973026462718342,0.909576186631352,0.9343790384252625,0.8002843999267147,2.23606797749979,2.23606797749979,2.0,0.04408589680989583
p_28,0.9988795661410345,0.9479989581971816,0.9361474751829918,0.8504330163262104,1.4142135623730951,2.0,2.0,0.016282755533854165
p_29,0.9989924503027621,0.9380923342138571,0.9532302172381253,0.7773346319951966,2.0,1.7320508075688772,1.7320508075688772,0.0265447998046875
p_30,0.9994714857466509,0.8436782994675527,0.911559347624857,0.8350202420698176,2.23606797749979,1.4142135623730951,1.4142135623730951,0.031934814453125
p_31,0.9993024184470333,0.9562006851539011,0.8053943311618397,0.36614172507595033,1.4142135623730951,1.7320508075688772,2.0,0.021845906575520834
p_32,0.9988540188885782,0.9575977331483907,0.949594017374568,0.8561077829119281,1.4142135623730951,2.0,2.0,0.03361572265625
p_33,0.9977564925940031,0.9181767589016726,0.9450461447389964,0.8816680541171181,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.022222696940104168
p_34,0.9993078747713383,0.9574366635330153,0.9433070200031931,0.7880971576325092,1.4142135623730951,1.7320508075688772,1.7320508075688772,0.03892313639322917
p_35,0.9974236060849704,0.8720673183001362,0.9306833076475028,0.7523349035555965,2.0,2.23606797749979,2.0,0.046476033528645835
p_36,0.9989267939230633,0.9280468473563155,0.8158212903357583,0.6997088585195419,2.0,2.7715865174515315,2.23606797749979,0.022953694661458333
p_37,0.9977594467304887,0.9309814908576768,0.937644961190801,0.8223159142301582,1.7320508075688772,2.0,1.7320508075688772,0.0086029052734375
p_38,0.9997157404217427,0.8927293018387555,0.8765239131750397,0.8597243283916611,1.7320508075688772,2.0,2.0,0.0063010660807291665
p_39,0.9992596062085354,0.9486072013703357,0.9175606169685131,0.8388911714641429,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.03879109700520833
p_40,0.9986616330683303,0.9360449823605816,0.9173520719429976,0.8532670273028872,1.4142135623730951,1.7320508075688772,1.7320508075688772,0.0257086181640625
p_41,0.9983593166690697,0.9455266590955718,0.9407249093927765,0.8286408370454963,1.7320508075688772,2.0,1.7320508075688772,0.024747314453125
p_42,0.9985675320332694,0.9061633177115106,0.9186007648040029,0.6900616751151294,2.449489742783178,2.449489742783178,1.7320508075688772,0.051435546875
p_43,0.9995051934153882,0.9447126686149253,0.8202983578925795,0.6959077543930154,1.4142135623730951,3.0,2.449489742783178,0.045204874674479166
p_44,0.9996923865612876,0.9285493934817518,0.9255503336560995,0.8043113985760104,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.03403299967447917
